frame_id,timestamp,object_id,object_type,confidence,bbox_x,bbox_y,bbox_w,bbox_h,speed_kmh,overspeed,speed_limit,speed_excess,speed_ratio,overspeed_flag,risk_level,bbox_area,bbox_center_x,bbox_center_y
1,2024-01-15 08:00:01,1,car,0.95,100,200,80,60,45,0,80,0,0.562,0,LOW,4800,140.0,230.0
1,2024-01-15 08:00:01,2,truck,0.88,300,180,120,90,55,0,60,0,0.917,0,NORMAL,10800,360.0,225.0
2,2024-01-15 08:00:02,1,car,0.94,110,200,80,60,48,0,80,0,0.6,0,LOW,4800,150.0,230.0
2,2024-01-15 08:00:02,3,pedestrian,0.91,500,300,40,80,5,0,10,0,0.5,0,LOW,3200,520.0,340.0
3,2024-01-15 08:00:03,1,car,0.96,120,200,80,60,85,1,80,5,1.062,1,HIGH,4800,160.0,230.0
3,2024-01-15 08:00:03,2,truck,0.87,310,180,120,90,60,1,60,0,1.0,0,NORMAL,10800,370.0,225.0
4,2024-01-15 08:00:04,4,car,0.93,200,220,80,60,40,0,80,0,0.5,0,LOW,4800,240.0,250.0
4,2024-01-15 08:00:04,3,pedestrian,0.9,505,305,40,80,4,0,10,0,0.4,0,LOW,3200,525.0,345.0
5,2024-01-15 08:00:05,4,car,0.92,210,220,80,60,95,1,80,15,1.188,1,HIGH,4800,250.0,250.0
5,2024-01-15 08:00:05,5,motorcycle,0.85,400,250,50,70,110,1,80,30,1.375,1,CRITICAL,3500,425.0,285.0
