frame_id,timestamp,object_id,object_type,confidence,bbox_x,bbox_y,bbox_w,bbox_h,speed_kmh,overspeed
1,2024-01-15 08:00:01,1,car,0.95,100,200,80,60,45,0
1,2024-01-15 08:00:01,2,truck,0.88,300,180,120,90,55,0
2,2024-01-15 08:00:02,1,car,0.94,110,200,80,60,48,0
2,2024-01-15 08:00:02,3,pedestrian,0.91,500,300,40,80,5,0
3,2024-01-15 08:00:03,1,car,0.96,120,200,80,60,85,1
3,2024-01-15 08:00:03,2,truck,0.87,310,180,120,90,60,1
4,2024-01-15 08:00:04,4,car,0.93,200,220,80,60,40,0
4,2024-01-15 08:00:04,3,pedestrian,0.90,505,305,40,80,4,0
5,2024-01-15 08:00:05,4,car,0.92,210,220,80,60,95,1
5,2024-01-15 08:00:05,5,motorcycle,0.85,400,250,50,70,110,1
